	(1)	(2)	(3)	(4)
o._Iyear_2011	-	-	-	-
				
_Iyear_2012	0.020	0.070	-0.070	-0.161***
	[0.107]	[0.099]	[0.094]	[0.061]
o._Iyear_2013	-	-	-	-
				
_Idiv_2	0.097	0.004	-0.128**	-0.071*
	[0.063]	[0.066]	[0.056]	[0.038]
_Idiv_3	0.073	0.084	0.024	-0.115***
	[0.060]	[0.064]	[0.052]	[0.036]
_Idiv_4	0.032	-0.183**	-0.070	0.004
	[0.069]	[0.072]	[0.060]	[0.042]
_Imetro_1	-0.082	0.018	0.168***	0.017
	[0.050]	[0.054]	[0.047]	[0.033]
_Imetro_2	-0.062	-0.031	0.182***	0.074**
	[0.056]	[0.060]	[0.051]	[0.036]
_Imetro_3	-0.029	-0.028	0.109*	0.088**
	[0.065]	[0.069]	[0.058]	[0.041]
_Imetro_4	-0.174	-0.051	0.209	0.132
	[0.176]	[0.168]	[0.147]	[0.098]
o._Imetro_5	-	-	-	-
				
_Iurban_1	-0.018	-0.125***	0.048	0.073***
	[0.045]	[0.047]	[0.041]	[0.028]
_Iurban_2	0.038	0.008	0.045	-0.059
	[0.128]	[0.128]	[0.109]	[0.074]
_Iind6090_30	0.768*		0.422	
	[0.449]		[0.261]	
_Iind6090_31	0.982**		-0.577**	
	[0.390]		[0.287]	
_Iind6090_40	2.887***		-1.642***	
	[0.583]		[0.453]	
_Iind6090_41	3.610***		-2.054***	
	[0.265]		[0.388]	
_Iind6090_42	3.062***		-0.962***	
	[0.218]		[0.251]	
_Iind6090_50	4.047***		-1.965***	
	[0.397]		[0.362]	
_Iind6090_66	2.484***		-1.121***	
	[0.103]		[0.115]	
_Iind6090_100	2.691***		-1.281***	
	[0.275]		[0.302]	
_Iind6090_101	3.596***		-2.018***	
	[0.403]		[0.391]	
_Iind6090_102	3.064***		-0.813**	
	[0.357]		[0.334]	
_Iind6090_110	2.857***		-0.827	
	[0.497]		[0.622]	
_Iind6090_111	3.277***		-1.151**	
	[0.379]		[0.462]	
_Iind6090_112	3.227***		-0.558	
	[0.545]		[0.506]	
_Iind6090_120	2.384***		0.214	
	[0.320]		[0.310]	
_Iind6090_121	2.620***		-0.403*	
	[0.274]		[0.245]	
_Iind6090_122	1.915***		0.424	
	[0.424]		[0.315]	
_Iind6090_130	3.932***		-2.157**	
	[0.598]		[0.901]	
_Iind6090_132	4.355***		-1.288***	
	[0.363]		[0.328]	
_Iind6090_140	4.147***		-1.720***	
	[0.477]		[0.460]	
_Iind6090_141	3.399***		-1.745***	
	[0.548]		[0.449]	
_Iind6090_142	4.723***		-1.965***	
	[0.174]		[0.217]	
_Iind6090_146	3.971***		-1.755***	
	[0.199]		[0.224]	
_Iind6090_150	4.248***		-1.713***	
	[0.287]		[0.317]	
_Iind6090_151	4.121***		-1.657***	
	[0.196]		[0.192]	
_Iind6090_152	4.322***		-1.721***	
	[0.278]		[0.326]	
_Iind6090_160	3.121***		-0.904**	
	[0.342]		[0.420]	
_Iind6090_161	3.462***		-1.133***	
	[0.332]		[0.288]	
_Iind6090_162	2.974***		-1.176***	
	[0.353]		[0.412]	
_Iind6090_166	3.299***		-1.270***	
	[0.229]		[0.270]	
_Iind6090_171	1.425***		0.039	
	[0.280]		[0.213]	
_Iind6090_172	2.887***		-0.857***	
	[0.247]		[0.225]	
_Iind6090_176	3.196***		-1.034***	
	[0.164]		[0.183]	
_Iind6090_181	2.289***		-0.255	
	[0.358]		[0.445]	
_Iind6090_186	2.929***		0.160	
	[0.262]		[0.203]	
_Iind6090_190	1.406		0.655	
	[0.862]		[0.898]	
_Iind6090_200	3.395***		-0.571	
	[0.304]		[0.430]	
_Iind6090_201	2.916***		-0.518	
	[0.549]		[0.603]	
_Iind6090_206	2.879***		-0.460***	
	[0.151]		[0.158]	
_Iind6090_211	3.040***		-0.928**	
	[0.351]		[0.383]	
_Iind6090_212	3.401***		-1.329***	
	[0.246]		[0.242]	
_Iind6090_220	3.089***		-0.676	
	[1.027]		[0.897]	
_Iind6090_221	4.423***		-2.098***	
	[0.423]		[0.402]	
_Iind6090_222	3.178***		1.059	
	[0.624]		[0.809]	
_Iind6090_230	1.631***		0.178	
	[0.364]		[0.378]	
_Iind6090_231	2.927***		-0.999**	
	[0.334]		[0.412]	
_Iind6090_236	3.282***		-1.454***	
	[0.236]		[0.319]	
_Iind6090_241	2.999***		-1.457***	
	[0.296]		[0.324]	
_Iind6090_242	2.976***		-1.615***	
	[0.216]		[0.244]	
_Iind6090_246	2.592***		-0.125	
	[0.240]		[0.236]	
_Iind6090_250	3.312***		-1.569***	
	[0.175]		[0.275]	
_Iind6090_251	3.276***		-1.382***	
	[0.387]		[0.315]	
_Iind6090_252	3.922***		-2.367***	
	[0.491]		[0.187]	
_Iind6090_261	2.454***		-1.105***	
	[0.479]		[0.370]	
_Iind6090_262	2.529***		-0.695	
	[0.473]		[0.697]	
_Iind6090_270	4.010***		-1.099***	
	[0.411]		[0.396]	
_Iind6090_271	3.783***		-1.773***	
	[0.344]		[0.259]	
_Iind6090_281	3.534***		-1.003	
	[0.560]		[0.644]	
_Iind6090_282	3.389***		-0.991***	
	[0.260]		[0.274]	
_Iind6090_301	3.788***		-1.123***	
	[0.332]		[0.373]	
_Iind6090_311	2.503***		-1.095**	
	[0.420]		[0.529]	
_Iind6090_346	2.940***		-0.755***	
	[0.210]		[0.210]	
_Iind6090_351	3.341***		-1.440***	
	[0.153]		[0.199]	
_Iind6090_360	3.051***		-1.489***	
	[0.277]		[0.224]	
